id,commentText,Labels,stopwords,upper,hastags,word_count,char_count,avg_word,numerics
Ugy_CBm-_CKA3YqrzcB4AaABAg,pudina ptta nhi dalu,7,1,0,0,4,20,4.25,0
Ugy9mx9nuTWJu4dRac14AaABAg,chiken kacha tu ni rhy ga sis,7,0,0,0,7,29,3.285714286,0
Ugz8T2MKLYucL3dM9nh4AaABAg,hello mam i love recipes  all ingredients easily available way explaining good,4,9,1,0,13,78,5.5,0
Ugx_1cCjRbCaDgL0FLF4AaABAg,its awesome recipe plzz make handi chicken handi,2,1,0,0,8,48,5.125,0
UgzLhKVAJ6NN3nZXyjN4AaABAg,yeh jo measurement haikitne logon ke liye hai,7,0,0,0,8,45,4.75,0
UgxW2SfrAhKsLgxbKfB4AaABAg,kabita mam i tried ur egg biryani everyone house loved thank much delicious ur recipe,5,13,1,0,15,85,4.733333333,0
UgyLvHNOg7qyDpTYkR94AaABAg,cooker kar sakte na,7,2,0,0,4,19,4,0
Ugw1us5PMRRmNfecx3x4AaABAg,mujhe bhot ache lagi apki respi mene subscribe kardia bhot ache,2,1,0,0,11,63,4.818181818,0
UgxlqdbI_3aogI5YVgZ4AaABAg,mamdahi k jgh p kuch use kr skte h kya,7,1,0,0,10,38,2.9,0
UgwSiinYQITcZ0qtdZ14AaABAg,wooooooo yummmmmm i love,5,3,1,0,4,24,5.25,0
UgyGrEoh0oodMP7VABl4AaABAg,this perfect biryani recipe apko follow kar k banaya acchi bani biryani,2,2,0,0,12,71,5,0
UgzUDtAcYFKGpRbJEgd4AaABAg,hi didi i always curious how biryani made thank much putting detailed video this weekend i try serve family really motivatied,1,10,2,0,21,125,5,0
UgyQbevvQp5I3NpTQI54AaABAg,thanx respect from madam appne tel nahy dala,5,0,0,0,8,44,4.625,0
Ugxgc7xzTrcn4G0wKjh4AaABAg,i made this taste awesome thank kabita ji,5,2,1,0,8,41,4.25,0
Ugxxuo6trsmZb5emdZR4AaABAg,youre amazing ,4,0,0,0,3,14,6,0
UgwIIhGL2SknSOjkstd4AaABAg,nice video,3,0,0,0,2,10,4.5,0
Ugws68hmM-oUzNkPaz14AaABAg,aur kya recipe ko cokar bana sakte heplease zarur reply kijiye ga,7,2,0,0,12,65,4.5,0
UgzZrbxsuoynB_Q34_Z4AaABAg,aur mam isme aap chawal kitne k g use kiya,7,1,0,0,10,42,3.3,0
Ugw7hwicDir-7ZEy4ip4AaABAg,rice oil dale chalega,7,2,0,0,4,21,4.5,0
