id,commentText,Labels,stopwords,upper,hastags,word_count,char_count,avg_word,numerics
Ugz7LQV0ZWpuNnjBaxJ4AaABAg,love potato ke prathe,2,1,0,0,4,21,4.5,0
UgxvWJ_kJL2nePTkg2N4AaABAg,wwaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaww,3,0,0,0,1,49,49,0
UgxxeUmiH9f8XOZZWr14AaABAg,nice,3,0,0,0,1,4,4,0
Ugz-UPvwHMx4nSKVoCB4AaABAg,wow amazing,3,0,0,0,2,11,5,0
UgzfXhbesBABQzi4-m94AaABAg,thank madam,1,1,0,0,2,11,5,0
Ugy_z2dIVhsLV_55_Gd4AaABAg,nice,3,0,0,0,1,4,4,0
UgxaqLJOhaNOoxFtQvl4AaABAg,nice,3,0,0,0,1,4,4,0
UgzWarQy187cKMdSg6F4AaABAg,execllent women,4,0,0,0,2,15,7,0
Ugx2WzFYu7zTYpVICTB4AaABAg,soo kind,4,0,0,0,2,8,3.5,0
Ugy9Kw-hUDyhUHTp-n94AaABAg,i cant believe  million subs ,6,3,1,0,7,29,4.6,0
UgzdnoS7dMGulN938_p4AaABAg,nice,3,0,0,0,1,4,4,0
UgxDbo0qlPNw2utYEKl4AaABAg,thanks,1,0,0,0,1,6,6,0
UgxKY-kAcoTF5YUECiF4AaABAg,atta flour means wheat flour,7,0,0,0,5,28,4.8,0
Ugw4e66RcQSthO3RdNN4AaABAg,parathaliked kitchen design,6,1,0,0,3,27,8.333333333,0
Ugy-deo0jRQmB4oLvR54AaABAg,tasty aloo paratha,2,0,0,0,3,18,5.333333333,0
UgzMPwWt8iwCalCJEel4AaABAg,thanks aunty ,1,0,0,0,3,13,5.5,0
UgwyvBrq9B5TgScAfnt4AaABAg,superb,3,0,0,0,1,6,6,0
Ugygf97lHQ4Gf2QCs1l4AaABAg,aunty aapne bahut hi acha aur bqhut simplicity ke saath explain kiya aise hamare desh teachers ho jaye phir kisi bacche ko tutions ki need ni hou inspiration and paratha also good healthy ,4,7,0,0,34,188,4.696969697,0
UgxaGltVh_0xRip-7ph4AaABAg,your instructions really useful maam,4,1,0,0,5,36,6.4,0
UgzGA3x-Nilg5kfEE8h4AaABAg,ur way explaining best aunty ji,4,2,0,0,6,31,4.333333333,0
UgyksaV2ELSG6e8K-ul4AaABAg,i love word thody se chotty thody se bady bana sakty hyn,6,1,1,0,12,56,3.75,0
UgxTy_5_cpoSaJ1D-V54AaABAg,nisha aunty soooooooo humble sweetkeep up,4,4,0,0,6,41,6,0
UgwjgOUdBOrKtGB7PHt4AaABAg,wao,3,0,0,0,1,3,3,0
UgwaAfc1Fkyt0aQingp4AaABAg,thanks,1,0,0,0,1,6,6,0
UgzuNZVU4BVrUdnSXap4AaABAg,awesome,3,0,0,0,1,7,7,0
Ugzc0KO2xCxnHKOR_194AaABAg,app mera bhahi hote toh bariya hota roj kuch na kuch naya khane ko milta,6,0,0,0,15,72,3.866666667,0
UgwS-aLIcpwxTO5dKBZ4AaABAg,nice,3,0,0,0,1,4,4,0
UgxXa0L4-ELMo_rH8eF4AaABAg,hello nisha anti mai new hun bht mazy k pharahty bane muje se ap ki video dhek kr thank god muje reply kijy ga nd maine kuch bana hu kia likhun,6,1,0,0,31,143,3.64516129,0
UgwO7TMloh6Rr5TbMAx4AaABAg,beshk u r great  blessings frm pakistan ,4,0,0,0,9,40,4.571428571,0
UgwK8dD7Jatckqi7dtt4AaABAg,madam aap thoda nail cut karo suggestion hai mera cooking karte time warna gloves wear karo,6,0,0,0,16,91,4.75,0
UgzJUGx4JLbmPGbrbFF4AaABAg,wow,3,0,0,0,1,3,3,0
UgwtRzePK07OwCd-Rk14AaABAg,love kerala,6,1,0,0,2,11,5,0
UgyQP_DqpubzSm8OPet4AaABAg,bhot asha aalo vala prantha,2,0,0,0,5,27,4.6,0
UgzOOnQsM8F0XhIn0ht4AaABAg,vedio bohot accha laga mam,3,0,0,0,5,26,4.4,0
UgzIk24DmjUvmhfjICV4AaABAg,nice recipe  easy cook,2,1,0,0,5,22,4.5,0
UgzB2uh6BMK_DEa71rp4AaABAg,yummy yummy super yummy aaloo prathe ,2,0,0,0,7,37,5.166666667,0
Ugw9R3QGVp5StGUk4j94AaABAg,mam mere potatoes ko mne boil krke cooker mein chod diye hour mne potatoes ko cheel ke masala banaya masala kafi loose ho gya uske baad mne unhe choka bhi laga diya phir bhi parathe nhi bn rhe h pls bataye kya kre,7,3,0,0,43,213,3.976744186,0
UgxrTdLbwfPhPvVcGM94AaABAg,yummy,2,0,0,0,1,5,5,0
UgxOT3N829C9sHuMjcN4AaABAg,still young due cooking,4,4,0,0,4,23,5,0
Ugx1sdcp0f2Y4kiON2R4AaABAg,very nice madam ji,3,0,0,0,4,18,3.75,0
UgyFlq8cRbAndsISPat4AaABAg,mam u highly talented ur cooking skills extraordinary,4,3,0,0,8,53,5.75,0
UgyytaNYCrpaOT_jUyF4AaABAg,good aunty,3,0,0,0,2,10,4.5,0
UgzCFUhDDzzOVIMT87R4AaABAg,your voice nice,4,1,0,0,3,15,4.333333333,0
UgzQEelo6oTL2Q9HlPd4AaABAg,nice,3,0,0,0,1,4,4,0
UgxqIgR7OTax2t4X5KR4AaABAg,you explain clearly sweetly maamthank,4,3,0,0,5,37,6.6,0
UgwCG8hJuM1pj1yQ3fZ4AaABAg,mam jab paratha belte hai tao sara masala corner pe aa jata h center kuch nhi rahta,6,1,0,0,17,83,3.941176471,0
UgzO07TK_9b7ST1b3RV4AaABAg,also paratha receipe nice nice,2,1,0,0,5,30,5.2,0
Ugw7tGFLHx0CIvMmLWp4AaABAg,nisha mam tried n goodi make parathas dis way kids week n dey enjoy itu showed awesome recipegod bless u n ur loved ones ,5,12,0,0,25,121,4.041666667,0
Ugx__OWrYJcf_9jk_0t4AaABAg,thanks mam its easy yummy,5,2,0,0,5,25,4.2,0
Ugy1YJkxLz365GWZ33t4AaABAg,wow wow wow mouth watering,2,0,0,0,5,26,4.4,0
UgyJM2U3Rg6FVAhtKnF4AaABAg,my mom i wanted make aloo ka paratha vid helped thanks,1,8,1,0,11,54,4,0
UgxqlgWH3gwsxFHpOCN4AaABAg,madam oil ka place ghee use kar sakthe kya,7,1,0,0,9,42,3.777777778,0
UgzSwhj05oKcw19Qlat4AaABAg,very delicious ,2,0,0,0,3,15,6.5,0
Ugxyzv_J_RHCuroyPtN4AaABAg,good nice recipe mam,2,2,0,0,4,20,4.25,0
UgyiE9p8wXTwFLKANLx4AaABAg,thanks aap itna achha paratha banai hai aur aap bahut acchi hai thanks,5,0,0,0,13,70,4.461538462,0
Ugy_OtEYtlobmOpWa3Z4AaABAg,itna oil,6,0,0,0,2,8,3.5,0
UgwOTw0fzUuy-3yrtf94AaABAg,osm pratha aunty ji,2,0,0,0,4,19,4,0
UgydZCdaVGhIU2pTBKZ4AaABAg,who try please one like,6,1,0,0,5,23,3.8,0
Ugw9Bc_FktVSW8vaIt94AaABAg,wow apke parathe kitte kitte mast h wow mughe abi khane ka mn kr rhe hmae bi aj hi bnaungi,6,1,0,0,20,90,3.55,0
UgyhB1mrcQih8xqgauF4AaABAg,thank ,1,1,0,0,2,6,5,0
Ugx_bK1uXWs0mLuHd1J4AaABAg,maam really recipes testy  im ur big fan  paratha recipe also nice,4,5,0,0,14,66,4.416666667,0
Ugw4uiDJtrL4Pj9Lk094AaABAg,majedar bana hai aloo paratha ,2,0,0,0,6,30,5,0
UgwiYYdQI_xAQ6wB1yh4AaABAg,m newly mrd dono anythng cook hubby lyks alu paratha tqsm mam fr dis recipe,1,3,1,0,15,75,4.066666667,0
UgyYBhumbCwPm9zi-pl4AaABAg,nyc,3,0,0,0,1,3,3,0
UgwkzBEf0ViS14eXyUB4AaABAg,this women good,4,2,0,0,3,15,4.333333333,0
Ugx7f5ITllUosaaCmUp4AaABAg,very good pratha ji,2,0,0,0,4,19,4,0
Ugyg6tWocXMJZcuxnBR4AaABAg,thanku mam,1,0,0,0,2,10,4.5,0
Ugzchve_wz7k52xVGK14AaABAg,very nice holiday cook grandson im also cooking expert wish,6,9,0,0,10,59,5,0
UgxFosCqmhEkvS_Lnw94AaABAg,thank mam bht testy hai,1,1,0,0,5,23,3.8,0
UgxRRjpH2TXu2sO4VBJ4AaABAg,nice bhabi ji,3,0,0,0,3,13,3.666666667,0
UgxgRyaaVMa0RKjuX854AaABAg,mam aap bahut ache tarike se sikhati hthanks,5,0,1,0,8,44,4.625,0
UgzEhXxI-rPH5ByBNI54AaABAg,thanku much,1,1,0,0,2,11,5,0
UgzpPvqmJ4mnR_fNdMZ4AaABAg,i trying early morning,6,1,1,0,4,22,4.75,0
Ugz_NVytBR5IBXTtZQJ4AaABAg,nice aunty ji,3,0,0,0,3,13,3.666666667,0
Ugxuzrar2raYrn1WrbJ4AaABAg,thank i tried it tasty,5,4,1,0,5,22,3.6,0
Ugwk5GlAutd9TNvdL2J4AaABAg,thanks mummy ji,1,0,0,0,3,15,4.333333333,0
UgwF8AKD-iS3zMQKlH14AaABAg,auntie the jokerfrom kashmir wanted ask thatcan use gram flourbesaninstead wheat flourmaida,7,8,1,0,12,91,6.666666667,0
UgzMCeQfUhM9gbOnEsZ4AaABAg,very nice parathe,2,0,0,0,3,17,5,0
UgzmPfyPU5D1id-blat4AaABAg,super mam,3,0,0,0,2,9,4,0
UgwsqmKbMTCoMTUp-Gt4AaABAg,koi new recipe dijiye nisha ji,6,0,0,0,6,30,4.166666667,0
Ugwv4F5qKmICAh36aH14AaABAg,thanks,1,0,0,0,1,6,6,0
UgzLSmXvbJnQ3xXgVmp4AaABAg,yummmmmmy abi try krny lgii hu,2,1,0,0,6,30,4.166666667,0
Ugzu0QTILObb8eIBGFJ4AaABAg,nice recipeaap ka andaz itna pyara samjhane ka ke kia hi baat hethanks recipe,5,3,0,0,14,77,4.571428571,0
Ugw2FsdGLPmnrFnQr_14AaABAg,very yammyyyyyyyyyyyyyyyy,2,0,0,0,2,25,12,0
UgxU4J4BeGOcaNYfPyZ4AaABAg,really nice paratha ,2,0,0,0,4,20,5.666666667,0
Ugzq7_oXO7378XMbAPd4AaABAg,i try,6,1,1,0,2,5,2,0
Ugzk9kAlVlPeFefhHeF4AaABAg,marshallah beautiful excellent parathay,2,0,0,0,4,39,9,0
UgwnPFWjI_f6QRssnpt4AaABAg,mam koi bhi stuffed paratha bnati hu sari stuffing kinaro p aa jati h beech sirf aata reh jata h to kya kru ki stuffing pure parathe evenly lg jaye,7,5,0,0,30,147,3.933333333,0
Ugx56BoZct-_TOUNbbd4AaABAg,aaj bhi ese try karugi mujhe aloo ke parathe banana aate hi nhi thank much mam,1,6,0,0,16,78,3.9375,0
UgwkR9hyATkAJsc6PiF4AaABAg,very nice thank sharing ,5,3,0,0,5,24,5,0
UgzgLNGDoumBcgaOOxh4AaABAg,superb aunty ji aapse bahut sikhne ko milta hai ab main bhi aapke wajah se ache paranthe banane legi hoon thankyou aunty ji,5,0,0,0,23,123,4.391304348,0
